alpha.air_average,Points:0,Points:1,Points:2
0.547545,0,0,0
0.553919,0.02,0,0
0.576856,0.04,0,0
0.607337,0.06,0,0
0.624192,0.08,0,0
0.617004,0.1,0,0
0.59465,0.12,0,0
0.586794,0.14,0,0
0.603396,0.16,0,0
0.627013,0.18,0,0
0.63429,0.2,0,0
0.617421,0.22,0,0
0.586906,0.24,0,0
0.559192,0.26,0,0
0.549238,0.28,0,0
0.556903,0,0.02,0
0.564191,0.02,0.02,0
0.592243,0.04,0.02,0
0.630616,0.06,0.02,0
0.649819,0.08,0.02,0
0.638794,0.1,0.02,0
0.612211,0.12,0.02,0
0.602976,0.14,0.02,0
0.620774,0.16,0.02,0
0.647186,0.18,0.02,0
0.657345,0.2,0.02,0
0.638739,0.22,0.02,0
0.602856,0.24,0.02,0
0.572214,0.26,0.02,0
0.562037,0.28,0.02,0
0.591518,0,0.04,0
0.610869,0.02,0.04,0
0.65318,0.04,0.04,0
0.689742,0.06,0.04,0
0.697883,0.08,0.04,0
0.670956,0.1,0.04,0
0.632461,0.12,0.04,0
0.620441,0.14,0.04,0
0.639951,0.16,0.04,0
0.67465,0.18,0.04,0
0.698864,0.2,0.04,0
0.692385,0.22,0.04,0
0.65994,0.24,0.04,0
0.620377,0.26,0.04,0
0.602767,0.28,0.04,0
0.629412,0,0.06,0
0.67006,0.02,0.06,0
0.732382,0.04,0.06,0
0.753431,0.06,0.06,0
0.735556,0.08,0.06,0
0.685071,0.1,0.06,0
0.635708,0.12,0.06,0
0.62431,0.14,0.06,0
0.642043,0.16,0.06,0
0.681985,0.18,0.06,0
0.726064,0.2,0.06,0
0.744552,0.22,0.06,0
0.722942,0.24,0.06,0
0.670655,0.26,0.06,0
0.641323,0.28,0.06,0
0.638377,0,0.08,0
0.689587,0.02,0.08,0
0.764395,0.04,0.08,0
0.779775,0.06,0.08,0
0.745609,0.08,0.08,0
0.681299,0.1,0.08,0
0.630646,0.12,0.08,0
0.622553,0.14,0.08,0
0.634239,0.16,0.08,0
0.668037,0.18,0.08,0
0.721791,0.2,0.08,0
0.756294,0.22,0.08,0
0.737698,0.24,0.08,0
0.681921,0.26,0.08,0
0.651799,0.28,0.08,0
