alpha.air_average,Points:0,Points:1,Points:2
0.656229,0.15,0.06,0
0.703658,0.16,0.06,0
0.732775,0.17,0.06,0
0.751265,0.18,0.06,0
0.773495,0.19,0.06,0
0.786715,0.2,0.06,0
0.779706,0.21,0.06,0
0.759506,0.22,0.06,0
0.744719,0.23,0.06,0
0.726134,0.24,0.06,0
0.676819,0.25,0.06,0
0.617008,0.26,0.06,0
0.578732,0.27,0.06,0
0.566418,0.28,0.06,0
0.550413,0,0.07,0
0.561265,0.01,0.07,0
0.604109,0.02,0.07,0
0.659195,0.03,0.07,0
0.698914,0.04,0.07,0
0.712451,0.05,0.07,0
0.696987,0.06,0.07,0
0.680102,0.07,0.07,0
0.662099,0.08,0.07,0
0.630186,0.09,0.07,0
0.6035,0.1,0.07,0
0.589558,0.11,0.07,0
0.585855,0.12,0.07,0
0.593814,0.13,0.07,0
0.615017,0.14,0.07,0
0.659596,0.15,0.07,0
0.711047,0.16,0.07,0
0.742764,0.17,0.07,0
0.763694,0.18,0.07,0
0.789415,0.19,0.07,0
0.808962,0.2,0.07,0
0.806567,0.21,0.07,0
0.789451,0.22,0.07,0
0.777901,0.23,0.07,0
0.752379,0.24,0.07,0
0.688632,0.25,0.07,0
0.623225,0.26,0.07,0
0.585432,0.27,0.07,0
0.572862,0.28,0.07,0
0.548533,0,0.08,0
0.557435,0.01,0.08,0
0.599729,0.02,0.08,0
0.65547,0.03,0.08,0
0.696768,0.04,0.08,0
0.715487,0.05,0.08,0
0.704355,0.06,0.08,0
0.685312,0.07,0.08,0
0.661858,0.08,0.08,0
0.630238,0.09,0.08,0
0.604244,0.1,0.08,0
0.585204,0.11,0.08,0
0.576908,0.12,0.08,0
0.584888,0.13,0.08,0
0.608041,0.14,0.08,0
0.653534,0.15,0.08,0
0.703751,0.16,0.08,0
0.736401,0.17,0.08,0
0.759718,0.18,0.08,0
0.785641,0.19,0.08,0
0.806,0.2,0.08,0
0.80617,0.21,0.08,0
0.793394,0.22,0.08,0
0.784205,0.23,0.08,0
0.753277,0.24,0.08,0
0.682457,0.25,0.08,0
0.616277,0.26,0.08,0
0.581161,0.27,0.08,0
0.570029,0.28,0.08,0
0.550537,0,0.09,0
0.558601,0.01,0.09,0
0.600591,0.02,0.09,0
0.658338,0.03,0.09,0
0.698421,0.04,0.09,0
0.715078,0.05,0.09,0
0.707184,0.06,0.09,0
0.688029,0.07,0.09,0
0.661469,0.08,0.09,0
0.63144,0.09,0.09,0
0.60599,0.1,0.09,0
0.583477,0.11,0.09,0
0.572727,0.12,0.09,0
0.581568,0.13,0.09,0
0.605015,0.14,0.09,0
0.646055,0.15,0.09,0
0.690756,0.16,0.09,0
0.722811,0.17,0.09,0
0.747498,0.18,0.09,0
0.773509,0.19,0.09,0
0.794546,0.2,0.09,0
0.797452,0.21,0.09,0
0.791598,0.22,0.09,0
0.785596,0.23,0.09,0
0.751924,0.24,0.09,0
0.680486,0.25,0.09,0
0.612425,0.26,0.09,0
0.576834,0.27,0.09,0
0.567721,0.28,0.09,0
0.551545,0,0.1,0
0.561254,0.01,0.1,0
0.601916,0.02,0.1,0
0.660725,0.03,0.1,0
0.703571,0.04,0.1,0
0.716817,0.05,0.1,0
0.708322,0.06,0.1,0
0.688875,0.07,0.1,0
0.661663,0.08,0.1,0
0.635551,0.09,0.1,0
0.6129,0.1,0.1,0
0.591003,0.11,0.1,0
0.580733,0.12,0.1,0
0.588963,0.13,0.1,0
0.608757,0.14,0.1,0
0.640685,0.15,0.1,0
0.676744,0.16,0.1,0
0.70611,0.17,0.1,0
0.731414,0.18,0.1,0
0.75926,0.19,0.1,0
0.782352,0.2,0.1,0
0.788282,0.21,0.1,0
0.789359,0.22,0.1,0
0.786107,0.23,0.1,0
0.749617,0.24,0.1,0
0.678027,0.25,0.1,0
0.607703,0.26,0.1,0
0.570519,0.27,0.1,0
0.562712,0.28,0.1,0
0.551864,0,0.11,0
0.562849,0.01,0.11,0
0.601364,0.02,0.11,0
0.662541,0.03,0.11,0
0.713678,0.04,0.11,0
0.728325,0.05,0.11,0
0.716619,0.06,0.11,0
0.692152,0.07,0.11,0
0.66205,0.08,0.11,0
0.638304,0.09,0.11,0
0.619502,0.1,0.11,0
0.60132,0.11,0.11,0
0.593198,0.12,0.11,0
0.600362,0.13,0.11,0
0.615941,0.14,0.11,0
0.637903,0.15,0.11,0
0.663176,0.16,0.11,0
0.686292,0.17,0.11,0
0.710914,0.18,0.11,0
0.741249,0.19,0.11,0
0.766454,0.2,0.11,0
0.776462,0.21,0.11,0
0.783717,0.22,0.11,0
0.781943,0.23,0.11,0
0.740163,0.24,0.11,0
0.664295,0.25,0.11,0
0.595142,0.26,0.11,0
0.5601,0.27,0.11,0
0.552494,0.28,0.11,0
0.553984,0,0.12,0
0.565387,0.01,0.12,0
0.60032,0.02,0.12,0
0.662315,0.03,0.12,0
0.721749,0.04,0.12,0
0.74378,0.05,0.12,0
0.734208,0.06,0.12,0
0.704466,0.07,0.12,0
0.667458,0.08,0.12,0
0.639754,0.09,0.12,0
0.621279,0.1,0.12,0
0.607941,0.11,0.12,0
0.604244,0.12,0.12,0
0.611291,0.13,0.12,0
0.624759,0.14,0.12,0
0.64183,0.15,0.12,0
0.658239,0.16,0.12,0
0.671796,0.17,0.12,0
0.692566,0.18,0.12,0
0.722656,0.19,0.12,0
0.748072,0.2,0.12,0
0.762308,0.21,0.12,0
0.775483,0.22,0.12,0
0.77242,0.23,0.12,0
0.724546,0.24,0.12,0
0.642687,0.25,0.12,0
0.576188,0.26,0.12,0
0.548137,0.27,0.12,0
0.541328,0.28,0.12,0
0.551107,0,0.13,0
0.56361,0.01,0.13,0
0.596348,0.02,0.13,0
0.657234,0.03,0.13,0
